model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
mobilenetv2_cbam,224,13,0.6513204531339728,0.8544066645975534,0.8451327433628318,0.6260333727549158,0.7205301328032725,"[0.8421052631578947, 0.8666666666666667, 0.25, 0.9708029197080292, 0.35294117647058826, 0.47368421052631576]","[0.8421052631578947, 0.896551724137931, 0.14285714285714285, 0.875, 0.6666666666666666, 0.9]","[0.8421052631578947, 0.8813559322033898, 0.18181818181818182, 0.9204152249134948, 0.46153846153846156, 0.6206896551724138]"
mobilenetv2_cbam,224,14,0.7675994703625403,0.8865470202573037,0.8893805309734514,0.8152967344050146,0.7345236894919291,"[0.8888888888888888, 0.9333333333333333, 1.0, 0.910828025477707, 0.4444444444444444, 0.7142857142857143]","[0.8421052631578947, 0.9655172413793104, 0.7142857142857143, 0.9407894736842105, 0.4444444444444444, 0.5]","[0.8648648648648649, 0.9491525423728814, 0.8333333333333334, 0.9255663430420712, 0.4444444444444444, 0.5882352941176471]"
mobilenetv2_cbam,224,15,0.7421886001337579,0.883910818080105,0.8761061946902655,0.7082674546263381,0.7951369436663555,"[0.8823529411764706, 0.9310344827586207, 0.4, 0.9647887323943662, 0.5, 0.5714285714285714]","[0.8333333333333334, 0.9642857142857143, 0.5, 0.8954248366013072, 0.7777777777777778, 0.8]","[0.8571428571428571, 0.9473684210526315, 0.4444444444444444, 0.9288135593220339, 0.6086956521739131, 0.6666666666666666]"
efficientnetb0_cbam,192,1,0.7299569138038091,0.8645163750667386,0.8634361233480177,0.7440476190476191,0.7401272577996716,"[0.6190476190476191, 0.9166666666666666, 0.5, 0.9285714285714286, 0.625, 0.875]","[0.6842105263157895, 0.7586206896551724, 0.8571428571428571, 0.9407894736842105, 0.5, 0.7]","[0.65, 0.8301886792452831, 0.631578947368421, 0.934640522875817, 0.5555555555555556, 0.7777777777777778]"
efficientnetb0_cbam,192,2,0.7119495647721453,0.8784839657050826,0.8810572687224669,0.7314996204764137,0.7011992930776959,"[0.875, 0.9629629629629629, 0.5555555555555556, 0.9240506329113924, 0.5714285714285714, 0.5]","[0.7368421052631579, 0.896551724137931, 0.7142857142857143, 0.9605263157894737, 0.4444444444444444, 0.45454545454545453]","[0.8, 0.9285714285714286, 0.625, 0.9419354838709677, 0.5, 0.47619047619047616]"
efficientnetb0_cbam,192,3,0.7313700918964078,0.8670233844197515,0.8716814159292036,0.7964567640280379,0.6905800180527949,"[0.6470588235294118, 0.96, 0.7142857142857143, 0.901840490797546, 1.0, 0.5555555555555556]","[0.5789473684210527, 0.8275862068965517, 0.7142857142857143, 0.9671052631578947, 0.5555555555555556, 0.5]","[0.6111111111111112, 0.8888888888888888, 0.7142857142857143, 0.9333333333333333, 0.7142857142857143, 0.5263157894736842]"
efficientnetb0_cbam,192,4,0.7546093319965429,0.8827653075095054,0.8761061946902655,0.7221423599633431,0.8093496432652513,"[0.8, 0.9655172413793104, 0.5714285714285714, 0.9574468085106383, 0.5, 0.5384615384615384]","[0.8421052631578947, 0.9655172413793104, 0.5714285714285714, 0.8881578947368421, 0.8888888888888888, 0.7]","[0.8205128205128205, 0.9655172413793104, 0.5714285714285714, 0.9215017064846417, 0.64, 0.6086956521739131]"
efficientnetb0_cbam,192,5,0.7464096146359319,0.8893326365874391,0.8849557522123894,0.7430355811228294,0.7643090569561157,"[0.8333333333333334, 1.0, 0.6666666666666666, 0.9463087248322147, 0.42857142857142855, 0.5833333333333334]","[0.8333333333333334, 0.9642857142857143, 0.5, 0.9215686274509803, 0.6666666666666666, 0.7]","[0.8333333333333334, 0.9818181818181818, 0.5714285714285714, 0.9337748344370861, 0.5217391304347826, 0.6363636363636364]"
efficientnetb0_cbam,192,6,0.7383946651958916,0.8824663486410879,0.8854625550660793,0.7629746793525362,0.7273355803301357,"[0.8235294117647058, 1.0, 0.625, 0.9171974522292994, 0.5454545454545454, 0.6666666666666666]","[0.7368421052631579, 0.9655172413793104, 0.7142857142857143, 0.9473684210526315, 0.6, 0.4]","[0.7777777777777778, 0.9824561403508771, 0.6666666666666666, 0.9320388349514563, 0.5714285714285714, 0.5]"
efficientnetb0_cbam,192,7,0.7771505271505271,0.9005438014248588,0.8942731277533039,0.7554615932235946,0.8172833795565193,"[0.8333333333333334, 0.9629629629629629, 0.7142857142857143, 0.9724137931034482, 0.46153846153846156, 0.5882352941176471]","[0.7894736842105263, 0.896551724137931, 0.7142857142857143, 0.9276315789473685, 0.6666666666666666, 0.9090909090909091]","[0.8108108108108109, 0.9285714285714286, 0.7142857142857143, 0.9494949494949495, 0.5454545454545454, 0.7142857142857143]"
efficientnetb0_cbam,192,8,0.7345852714668307,0.8893415613500262,0.8893805309734514,0.718475512810488,0.7675888716042981,"[0.7619047619047619, 0.9310344827586207, 0.4444444444444444, 0.9591836734693877, 0.5, 0.7142857142857143]","[0.8421052631578947, 0.9310344827586207, 0.5714285714285714, 0.9276315789473685, 0.3333333333333333, 1.0]","[0.8, 0.9310344827586207, 0.5, 0.9431438127090301, 0.4, 0.8333333333333334]"
efficientnetb0_cbam,192,9,0.759690553489003,0.8932955457034485,0.8893805309734514,0.7543997017151378,0.7833363341303451,"[0.6666666666666666, 1.0, 0.6666666666666666, 0.959731543624161, 0.5333333333333333, 0.7]","[0.7368421052631579, 0.8620689655172413, 0.5714285714285714, 0.9407894736842105, 0.8888888888888888, 0.7]","[0.7, 0.9259259259259259, 0.6153846153846154, 0.9501661129568106, 0.6666666666666666, 0.7]"
efficientnetb0_cbam,192,10,0.7781904463095145,0.8905232546436056,0.8893805309734514,0.7805779178586197,0.7806722689075629,"[0.65, 0.9259259259259259, 0.8571428571428571, 0.9473684210526315, 0.6363636363636364, 0.6666666666666666]","[0.7222222222222222, 0.8928571428571429, 0.75, 0.9411764705882353, 0.7777777777777778, 0.6]","[0.6842105263157895, 0.9090909090909091, 0.8, 0.9442622950819672, 0.7, 0.631578947368421]"
efficientnetb0_cbam,192,11,0.6848482434900811,0.8604758882571919,0.8546255506607929,0.6565675254130262,0.7229042433670383,"[0.6842105263157895, 0.8709677419354839, 0.5555555555555556, 0.965034965034965, 0.36363636363636365, 0.5]","[0.6842105263157895, 0.9310344827586207, 0.7142857142857143, 0.9078947368421053, 0.4, 0.7]","[0.6842105263157895, 0.9, 0.625, 0.9355932203389831, 0.38095238095238093, 0.5833333333333334]"
efficientnetb0_cbam,192,12,0.7732789499830052,0.9061558944071971,0.9074889867841409,0.7813958916900093,0.7932982272818934,"[0.7619047619047619, 1.0, 0.5833333333333334, 0.954248366013072, 0.5, 0.8888888888888888]","[0.8421052631578947, 0.896551724137931, 1.0, 0.9605263157894737, 0.3333333333333333, 0.7272727272727273]","[0.8, 0.9454545454545454, 0.7368421052631579, 0.9573770491803278, 0.4, 0.8]"
efficientnetb0_cbam,192,13,0.7033434243380182,0.8812281050644996,0.8805309734513275,0.7279242537060854,0.6930862837169552,"[0.8235294117647058, 1.0, 0.36363636363636365, 0.930379746835443, 0.625, 0.625]","[0.7368421052631579, 0.8275862068965517, 0.5714285714285714, 0.9671052631578947, 0.5555555555555556, 0.5]","[0.7777777777777778, 0.9056603773584906, 0.4444444444444444, 0.9483870967741935, 0.5882352941176471, 0.5555555555555556]"
efficientnetb0_cbam,192,14,0.7486798915370344,0.8845587619291791,0.8761061946902655,0.71864561877192,0.7955927894448767,"[0.7391304347826086, 1.0, 0.625, 0.9647887323943662, 0.5454545454545454, 0.4375]","[0.8947368421052632, 0.896551724137931, 0.7142857142857143, 0.9013157894736842, 0.6666666666666666, 0.7]","[0.8095238095238095, 0.9454545454545454, 0.6666666666666666, 0.9319727891156463, 0.6, 0.5384615384615384]"
efficientnetb0_cbam,192,15,0.701856841988421,0.8653862032238837,0.8628318584070797,0.6821789321789321,0.7322673513849985,"[0.5714285714285714, 0.9285714285714286, 0.5454545454545454, 0.9523809523809523, 0.42857142857142855, 0.6666666666666666]","[0.6666666666666666, 0.9285714285714286, 0.75, 0.9150326797385621, 0.3333333333333333, 0.8]","[0.6153846153846154, 0.9285714285714286, 0.631578947368421, 0.9333333333333333, 0.375, 0.7272727272727273]"
efficientnetb0_cbam,224,1,0.6956326122128815,0.8528632631544922,0.8502202643171806,0.6825518419336011,0.7357520957566329,"[0.7368421052631579, 0.8928571428571429, 0.625, 0.9383561643835616, 0.42857142857142855, 0.47368421052631576]","[0.7368421052631579, 0.8620689655172413, 0.7142857142857143, 0.9013157894736842, 0.3, 0.9]","[0.7368421052631579, 0.8771929824561403, 0.6666666666666666, 0.9194630872483222, 0.35294117647058826, 0.6206896551724138]"
efficientnetb0_cbam,224,2,0.8070105820105821,0.8994510873365499,0.8986784140969163,0.8142880642880642,0.8318957878848986,"[0.6923076923076923, 1.0, 0.6363636363636364, 0.9459459459459459, 0.8333333333333334, 0.7777777777777778]","[0.9473684210526315, 0.9310344827586207, 1.0, 0.9210526315789473, 0.5555555555555556, 0.6363636363636364]","[0.8, 0.9642857142857143, 0.7777777777777778, 0.9333333333333333, 0.6666666666666666, 0.7]"
efficientnetb0_cbam,224,3,0.6838056853846327,0.8455435647238162,0.8407079646017699,0.6840411840411841,0.703320441909371,"[0.6666666666666666, 0.9285714285714286, 0.75, 0.9256756756756757, 0.5, 0.3333333333333333]","[0.631578947368421, 0.896551724137931, 0.8571428571428571, 0.9013157894736842, 0.3333333333333333, 0.6]","[0.6486486486486487, 0.9122807017543859, 0.8, 0.9133333333333333, 0.4, 0.42857142857142855]"
efficientnetb0_cbam,224,4,0.8478555232941197,0.933658054757263,0.9292035398230089,0.8190297943133696,0.8917117986537225,"[0.9473684210526315, 1.0, 0.625, 0.9793103448275862, 0.8, 0.5625]","[0.9473684210526315, 0.9655172413793104, 0.7142857142857143, 0.9342105263157895, 0.8888888888888888, 0.9]","[0.9473684210526315, 0.9824561403508771, 0.6666666666666666, 0.9562289562289562, 0.8421052631578947, 0.6923076923076923]"
efficientnetb0_cbam,224,5,0.7094495918025331,0.8823720093891878,0.8805309734513275,0.7172424525365702,0.7163165266106443,"[0.6666666666666666, 1.0, 0.6666666666666666, 0.954248366013072, 0.4444444444444444, 0.5714285714285714]","[0.7777777777777778, 0.8214285714285714, 0.5, 0.954248366013072, 0.4444444444444444, 0.8]","[0.717948717948718, 0.9019607843137255, 0.5714285714285714, 0.954248366013072, 0.4444444444444444, 0.6666666666666666]"
efficientnetb0_cbam,224,6,0.7188119938119938,0.862054525490649,0.8546255506607929,0.7211667193759225,0.735762898625875,"[0.8333333333333334, 0.9032258064516129, 0.8, 0.9375, 0.35294117647058826, 0.5]","[0.7894736842105263, 0.9655172413793104, 0.5714285714285714, 0.8881578947368421, 0.6, 0.6]","[0.8108108108108109, 0.9333333333333333, 0.6666666666666666, 0.9121621621621622, 0.4444444444444444, 0.5454545454545454]"
efficientnetb0_cbam,224,7,0.7191490631340255,0.8728011028199827,0.8634361233480177,0.6940217490779635,0.7650172976851742,"[0.8421052631578947, 0.9629629629629629, 0.625, 0.9577464788732394, 0.25, 0.5263157894736842]","[0.8421052631578947, 0.896551724137931, 0.7142857142857143, 0.8947368421052632, 0.3333333333333333, 0.9090909090909091]","[0.8421052631578947, 0.9285714285714286, 0.6666666666666666, 0.9251700680272109, 0.2857142857142857, 0.6666666666666666]"
