model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
mobilenetv2,192,11,0.6214731223257474,0.8005674139183999,0.788546255506608,0.5954248366013072,0.6721696482585774,"[0.5, 0.8666666666666667, 0.5, 0.9264705882352942, 0.25, 0.5294117647058824]","[0.5789473684210527, 0.896551724137931, 0.42857142857142855, 0.8289473684210527, 0.4, 0.9]","[0.5365853658536586, 0.8813559322033898, 0.46153846153846156, 0.875, 0.3076923076923077, 0.6666666666666666]"
mobilenetv2,192,12,0.6778975744748427,0.8342232373461599,0.8281938325991189,0.6483128088716356,0.7401892488099384,"[0.631578947368421, 0.8709677419354839, 0.5384615384615384, 0.9361702127659575, 0.35714285714285715, 0.5555555555555556]","[0.631578947368421, 0.9310344827586207, 1.0, 0.868421052631579, 0.5555555555555556, 0.45454545454545453]","[0.631578947368421, 0.9, 0.7, 0.9010238907849829, 0.43478260869565216, 0.5]"
mobilenetv2,192,13,0.701950826950827,0.8382874500131137,0.8230088495575221,0.6719794594010472,0.7682569690509798,"[0.6956521739130435, 0.9259259259259259, 0.7142857142857143, 0.9477611940298507, 0.38461538461538464, 0.36363636363636365]","[0.8421052631578947, 0.8620689655172413, 0.7142857142857143, 0.8355263157894737, 0.5555555555555556, 0.8]","[0.7619047619047619, 0.8928571428571429, 0.7142857142857143, 0.8881118881118881, 0.45454545454545453, 0.5]"
mobilenetv2,192,14,0.6421952188171427,0.8386966987816307,0.8362831858407079,0.662134703196347,0.6746514274191225,"[0.68, 1.0, 0.5, 0.9178082191780822, 0.5, 0.375]","[0.8947368421052632, 0.8620689655172413, 0.14285714285714285, 0.881578947368421, 0.6666666666666666, 0.6]","[0.7727272727272727, 0.9259259259259259, 0.2222222222222222, 0.8993288590604027, 0.5714285714285714, 0.46153846153846156]"
mobilenetv2,192,15,0.6775018518873646,0.8530379316679068,0.8407079646017699,0.6465801477486232,0.7318199502023032,"[0.7894736842105263, 0.9310344827586207, 0.375, 0.9565217391304348, 0.29411764705882354, 0.5333333333333333]","[0.8333333333333334, 0.9642857142857143, 0.375, 0.8627450980392157, 0.5555555555555556, 0.8]","[0.8108108108108109, 0.9473684210526315, 0.375, 0.9072164948453608, 0.38461538461538464, 0.64]"
mobilenetv2,224,1,0.5926541159099299,0.8029066622092574,0.7929515418502202,0.5456558061821221,0.6928495808486734,"[0.5833333333333334, 0.8571428571428571, 0.42857142857142855, 0.9548872180451128, 0.0, 0.45]","[0.7368421052631579, 0.8275862068965517, 0.8571428571428571, 0.8355263157894737, 0.0, 0.9]","[0.6511627906976745, 0.8421052631578947, 0.5714285714285714, 0.8912280701754386, 0.0, 0.6]"
mobilenetv2,224,2,0.7476052682949236,0.8620677211289395,0.8546255506607929,0.708384974179577,0.8015848463897465,"[0.72, 0.9310344827586207, 0.75, 0.9492753623188406, 0.5, 0.4]","[0.9473684210526315, 0.9310344827586207, 0.8571428571428571, 0.8618421052631579, 0.6666666666666666, 0.5454545454545454]","[0.8181818181818182, 0.9310344827586207, 0.8, 0.903448275862069, 0.5714285714285714, 0.46153846153846156]"
mobilenetv2,224,3,0.6549413198721852,0.8266199644278439,0.8185840707964602,0.6310375354493001,0.7007792469679948,"[0.6470588235294118, 0.8928571428571429, 0.3333333333333333, 0.9230769230769231, 0.5454545454545454, 0.4444444444444444]","[0.5789473684210527, 0.8620689655172413, 0.42857142857142855, 0.868421052631579, 0.6666666666666666, 0.8]","[0.6111111111111112, 0.8771929824561403, 0.375, 0.8949152542372881, 0.6, 0.5714285714285714]"
mobilenetv2,224,4,0.6997522520325634,0.8568393679333072,0.8362831858407079,0.6637877672278262,0.8000138036662537,"[0.85, 0.9655172413793104, 0.42857142857142855, 0.984251968503937, 0.3333333333333333, 0.42105263157894735]","[0.8947368421052632, 0.9655172413793104, 0.42857142857142855, 0.8223684210526315, 0.8888888888888888, 0.8]","[0.8717948717948718, 0.9655172413793104, 0.42857142857142855, 0.8960573476702509, 0.48484848484848486, 0.5517241379310345]"
mobilenetv2,224,5,0.7104248366013072,0.87576931331452,0.8761061946902655,0.7071365590462416,0.7255174291938998,"[0.75, 0.9655172413793104, 0.625, 0.9403973509933775, 0.42857142857142855, 0.5333333333333333]","[0.6666666666666666, 1.0, 0.625, 0.9281045751633987, 0.3333333333333333, 0.8]","[0.7058823529411765, 0.9824561403508771, 0.625, 0.9342105263157895, 0.375, 0.64]"
mobilenetv2,224,6,0.7329058667207456,0.860497427388042,0.8502202643171806,0.6895069564433788,0.8024641344741164,"[0.6956521739130435, 0.9629629629629629, 0.5555555555555556, 0.9562043795620438, 0.5, 0.4666666666666667]","[0.8421052631578947, 0.896551724137931, 0.7142857142857143, 0.8618421052631579, 0.8, 0.7]","[0.7619047619047619, 0.9285714285714286, 0.625, 0.9065743944636678, 0.6153846153846154, 0.56]"
mobilenetv2,224,7,0.6964549117015034,0.8380593761431119,0.8237885462555066,0.6765333096854836,0.7367976389074394,"[0.7083333333333334, 0.9615384615384616, 0.7142857142857143, 0.9347826086956522, 0.45454545454545453, 0.2857142857142857]","[0.8947368421052632, 0.8620689655172413, 0.7142857142857143, 0.8486842105263158, 0.5555555555555556, 0.5454545454545454]","[0.7906976744186046, 0.9090909090909091, 0.7142857142857143, 0.8896551724137931, 0.5, 0.375]"
mobilenetv2,224,8,0.6436481086805528,0.8318530316858662,0.8230088495575221,0.6206369504323468,0.68820614755279,"[0.6086956521739131, 0.8928571428571429, 0.5, 0.9428571428571428, 0.25, 0.5294117647058824]","[0.7368421052631579, 0.8620689655172413, 0.42857142857142855, 0.868421052631579, 0.3333333333333333, 0.9]","[0.6666666666666666, 0.8771929824561403, 0.46153846153846156, 0.9041095890410958, 0.2857142857142857, 0.6666666666666666]"
mobilenetv2,224,9,0.6831814791547096,0.8512081230830728,0.8362831858407079,0.6674073475544063,0.7295980612450667,"[0.5769230769230769, 0.9642857142857143, 0.5, 0.9632352941176471, 0.3, 0.7]","[0.7894736842105263, 0.9310344827586207, 0.42857142857142855, 0.8618421052631579, 0.6666666666666666, 0.7]","[0.6666666666666666, 0.9473684210526315, 0.46153846153846156, 0.9097222222222222, 0.41379310344827586, 0.7]"
mobilenetv2,224,10,0.640823656569529,0.8253646370821307,0.8097345132743363,0.6273771724598931,0.7370915032679739,"[0.7058823529411765, 0.8484848484848485, 0.5, 0.9765625, 0.3333333333333333, 0.4]","[0.6666666666666666, 1.0, 0.25, 0.8169934640522876, 0.8888888888888888, 0.8]","[0.6857142857142857, 0.9180327868852459, 0.3333333333333333, 0.8896797153024911, 0.48484848484848486, 0.5333333333333333]"
mobilenetv2,224,11,0.6085769249329877,0.7962440313632447,0.775330396475771,0.5725446428571429,0.6874751534007433,"[0.5, 0.8928571428571429, 0.375, 0.953125, 0.3333333333333333, 0.38095238095238093]","[0.631578947368421, 0.8620689655172413, 0.42857142857142855, 0.8026315789473685, 0.6, 0.8]","[0.5581395348837209, 0.8771929824561403, 0.4, 0.8714285714285714, 0.42857142857142855, 0.5161290322580645]"
